1000,23:52:00,80,SP1,293,29.4,0,,,,,,,,,,,,
1000,23:52:01,81,C,F,R,N,422,25.6,8.8,23:52:01,37.2314,80.4264,422.6,7,RELEASE_1,73,0,CX-ON
1000,23:52:01,82,SP1,272.6,29.6,0,,,,,,,,,,,,
1000,23:52:02,83,C,F,R,N,415,25.7,8.8,23:52:02,37.2315,80.4265,418.2,7,RELEASE_1,74,0,CX-ON
1000,23:52:02,84,SP1,252.2,29.7,0,,,,,,,,,,,,
1000,23:52:03,85,C,F,R,N,408,25.7,8.8,23:52:03,37.2315,80.4265,410.4,7,RELEASE_1,75,0,CX-ON
1000,23:52:03,86,SP1,231.8,29.8,0,,,,,,,,,,,,
1000,23:52:04,87,C,F,R,N,399,25.8,8.8,23:52:04,37.2315,80.4265,402.2,7,RELEASE_1,76,0,CX-ON
1000,23:52:04,88,SP1,211.4,30,0,,,,,,,,,,,,
1000,23:52:05,89,C,F,R,R,395,25.8,8.8,23:52:05,37.2316,80.4266,395.3,7,RELEASE_2,77,0,CX-ON
1000,23:52:05,90,SP1,191,30.1,0,,,,,,,,,,,,
1000,23:52:05,91,SP2,395,28.1,0,,,,,,,,,,,,
1000,23:52:06,92,C,F,R,R,389,25.8,8.8,23:52:06,37.2316,80.4266,389.3,7,RELEASE_2,78,78,CX-ON
1000,23:52:06,93,SP1,170.6,30.2,0,,,,,,,,,,,,